bar,open,close,low,high,volume,length,timestamp
114,93235.3,93229.3,93205.9,93244.7,10.680432,650,2025-04-28
115,93229.3,93186.9,93176.9,93242.7,10.774655000000001,887,2025-04-28
116,93186.7,93066.1,93066.1,93186.7,10.722778,637,2025-04-28
117,93066.1,93077.5,93036.9,93079.5,10.748891,724,2025-04-28
118,93077.5,93085.9,93047.8,93115.8,10.757934,1311,2025-04-28
119,93085.9,93133.8,93085.9,93137.1,10.73805,883,2025-04-28
120,93133.8,93060.1,93052.7,93133.8,10.736529,876,2025-04-28
121,93060.1,93137.9,93045.0,93156.2,10.734385,1549,2025-04-28
122,93137.9,93193.7,93137.9,93193.7,10.748702,1565,2025-04-28
123,93194.0,93239.6,93163.4,93262.9,10.729849,1559,2025-04-28
124,93239.6,93266.58,93226.8,93266.58,10.721655,1188,2025-04-28
125,93267.0,93267.4,93241.8,93289.9,10.717252,1115,2025-04-28
126,93267.4,93240.0,93232.4,93286.6,10.624615,996,2025-04-28
127,93240.0,93315.1,93240.0,93315.1,10.767694,1045,2025-04-28
128,93315.1,93367.0,93302.9,93384.2,10.767472,1709,2025-04-28
129,93367.1,93410.9,93363.4,93426.8,10.693472,959,2025-04-28
130,93410.9,93374.9,93364.9,93419.9,10.70781,1112,2025-04-28
131,93374.9,93410.2,93333.6,93410.2,10.713331,1370,2025-04-28
132,93410.2,93466.6,93389.9,93476.7,10.714913,2356,2025-04-28
133,93466.6,93576.7,93464.8,93576.8,10.696071,1077,2025-04-28
134,93576.7,93577.3,93529.5,93583.8,10.684689,1439,2025-04-28
135,93577.3,93531.8,93500.3,93577.3,10.692395,900,2025-04-28
136,93530.6,93465.0,93430.0,93530.6,10.70332,1304,2025-04-28
137,93465.0,93420.8,93408.3,93476.8,10.584966,1419,2025-04-28
138,93420.8,93473.8,93407.1,93484.1,10.813565,1828,2025-04-28
139,93473.8,93467.5,93444.2,93522.2,10.681424,1827,2025-04-28
140,93467.5,93415.0,93415.0,93467.5,10.679575,1037,2025-04-28
141,93415.0,93533.6,93414.2,93562.3,10.586995,2371,2025-04-28
142,93533.6,93510.8,93510.8,93568.9,10.802433,1370,2025-04-28
143,93510.8,93577.2,93508.5,93579.9,10.654429,1297,2025-04-28
144,93577.2,93551.7,93547.9,93587.0,10.721071,1068,2025-04-28
145,93551.7,93548.0,93542.1,93575.9,10.710093,1013,2025-04-28
146,93548.1,93573.0,93547.7,93595.4,10.702751,960,2025-04-28
147,93573.0,93508.2,93508.2,93578.2,10.692847,939,2025-04-28
148,93508.2,93566.1,93493.2,93566.1,10.640933,1236,2025-04-28
149,93566.1,93610.9,93566.1,93632.9,10.733667,1165,2025-04-28
150,93610.9,93607.1,93583.6,93632.0,10.321807,1475,2025-04-28
151,93607.1,93541.0,93516.6,93607.1,11.006363,1378,2025-04-28
152,93540.8,93507.7,93489.8,93549.5,10.62743,1552,2025-04-28
153,93507.7,93482.1,93472.1,93513.6,10.693334,1021,2025-04-28
154,93482.1,93596.5,93474.2,93596.5,10.631339,1503,2025-04-28
155,93596.7,93556.1,93543.2,93629.1,10.86625,1358,2025-04-28
156,93556.3,93689.6,93556.3,93689.6,10.677397000000001,1450,2025-04-28
157,93689.6,93692.7,93667.5,93710.8,8.559904,1003,2025-04-28
158,93692.7,93725.4,93692.7,93725.4,12.763630000000001,592,2025-04-28
159,93725.4,93702.5,93702.5,93771.7,10.63441,2066,2025-04-28
160,93702.5,93754.5,93696.2,93761.5,10.69093,1516,2025-04-28
161,93754.5,93782.3,93731.0,93822.3,10.698036,2419,2025-04-28
162,93782.3,93767.9,93726.9,93789.3,10.657231,1446,2025-04-28
163,93767.3,93756.0,93726.8,93787.0,10.66487,1342,2025-04-28
164,93756.0,93820.0,93740.3,93823.3,10.312347,1243,2025-04-28
165,93820.0,93982.3,93783.7,93982.3,10.985545,2057,2025-04-28
166,93982.3,93826.9,93826.8,93989.0,10.604726,2076,2025-04-28
167,93826.9,93846.0,93784.1,93851.2,10.655756,1663,2025-04-28
168,93846.0,93891.5,93846.0,93926.8,10.692691,1374,2025-04-28
169,93891.5,93904.1,93841.5,93916.0,10.599811,1696,2025-04-28
170,93904.1,93788.7,93785.9,93904.1,10.734365,1413,2025-04-28
171,93788.7,93876.5,93746.4,93884.0,10.536247,1265,2025-04-28
172,93876.1,93881.8,93855.6,93906.0,10.744599000000001,1411,2025-04-28
173,93881.8,93858.2,93826.9,93894.9,10.572887,1721,2025-04-28
174,93857.9,93876.8,93814.8,93876.8,10.747477,1271,2025-04-28
175,93876.8,93833.0,93824.5,93878.9,10.682008,1862,2025-04-28
176,93833.0,93849.3,93827.5,93898.2,10.642418,1537,2025-04-28
177,93849.3,93927.2,93834.7,93929.1,10.664676,2136,2025-04-28
178,93927.2,93942.8,93903.9,93951.6,10.627790000000001,1633,2025-04-28
179,93942.8,93936.3,93933.3,93980.7,10.650931,1175,2025-04-28
180,93936.3,93919.3,93910.9,93947.7,9.511587,1091,2025-04-28
181,93919.3,93908.1,93903.9,93932.9,11.596733,1037,2025-04-28
182,93908.1,93968.3,93901.3,93983.2,10.654491,820,2025-04-28
183,93968.3,93978.9,93932.2,93989.7,10.819549,1132,2025-04-28
184,93978.9,93980.5,93978.8,94005.2,10.643797,1558,2025-04-28
185,93980.5,93980.3,93936.0,93980.5,9.792623,771,2025-04-28
186,93980.3,93967.3,93953.3,93980.3,8.980227000000001,575,2025-04-28
187,93967.3,94018.9,93956.9,94018.9,12.874318,602,2025-04-28
188,94018.9,94011.0,94010.9,94041.2,10.915708,932,2025-04-28
189,94011.0,94033.9,94011.0,94033.9,10.229143,419,2025-04-28
190,94034.1,94047.7,93953.5,94047.7,11.029664,1444,2025-04-28
191,94047.7,94067.8,94042.1,94076.8,10.64538,1114,2025-04-28
192,94067.8,94128.2,94063.9,94128.2,10.624219,1238,2025-04-28
193,94128.2,94150.0,94120.4,94150.0,10.617689,1277,2025-04-28
194,94150.0,94126.8,94126.8,94178.8,10.404595,1569,2025-04-28
195,94126.8,94091.2,94083.8,94126.8,10.822263,1001,2025-04-28
196,94091.2,94071.6,94043.2,94091.2,10.655479,1239,2025-04-28
197,94071.6,94045.4,94043.9,94111.5,10.483848,1543,2025-04-28
198,94045.4,94054.7,94041.2,94059.6,10.678206,1094,2025-04-28
199,94054.7,94096.6,94054.7,94109.3,10.603533,1421,2025-04-28
200,94096.6,94049.1,94049.0,94103.5,10.76039,1194,2025-04-28
201,94049.1,94039.6,94031.3,94062.9,10.593271,1125,2025-04-28
202,94039.6,94053.9,94034.0,94055.9,10.657469,935,2025-04-28
203,94053.9,94099.9,94044.9,94100.0,10.649593,909,2025-04-28
204,94099.9,94109.4,94080.2,94109.4,10.61045,1230,2025-04-28
205,94109.6,94026.6,94026.6,94113.0,10.572245,1431,2025-04-28
206,94026.7,94026.2,94011.6,94040.3,10.693535,1129,2025-04-28
207,94026.2,94031.3,94019.0,94036.1,10.606307,1320,2025-04-28
208,94031.3,94030.7,94009.9,94035.6,8.065808,819,2025-04-28
209,94030.7,94030.1,94030.0,94035.7,13.249639,315,2025-04-28
210,94030.1,94030.1,94030.0,94042.1,10.620798,317,2025-04-28
211,94030.1,94075.1,94030.1,94087.2,10.640908,697,2025-04-28
212,94075.1,94077.4,94064.7,94101.5,10.607425,1051,2025-04-28
213,94077.4,94014.1,94013.9,94077.4,10.658424,698,2025-04-28
214,94014.1,94010.6,94009.4,94024.7,10.629672,803,2025-04-28
215,94010.6,94007.7,93957.7,94019.6,10.640427,1268,2025-04-28
216,94007.7,94140.7,94007.7,94140.7,10.5332,1341,2025-04-28
217,94140.7,94201.5,94140.7,94205.6,10.549204,989,2025-04-28
218,94201.6,94195.6,94187.0,94206.1,10.577703,875,2025-04-28
219,94195.6,94111.2,94111.1,94195.6,10.731393,826,2025-04-28
220,94111.2,94171.5,94111.2,94173.1,10.686905,1515,2025-04-28
221,94171.5,94120.0,94120.0,94171.5,10.629329,870,2025-04-28
222,94120.0,94157.8,94102.6,94165.2,10.643939,1503,2025-04-28
223,94157.8,94168.5,94147.0,94176.0,10.62224,1426,2025-04-28
224,94168.5,94165.5,94157.4,94197.1,10.618589,1064,2025-04-28
225,94165.5,94129.7,94113.5,94166.5,10.614565,1495,2025-04-28
226,94129.7,94216.2,94101.7,94216.2,10.53027,1158,2025-04-28
227,94216.28,94261.4,94216.28,94274.7,10.70774,1094,2025-04-28
228,94261.4,94330.3,94261.4,94330.3,10.538479,1085,2025-04-28
229,94330.3,94258.4,94258.4,94350.3,10.662338,1316,2025-04-28
230,94258.4,94158.5,94158.5,94258.4,10.543843,605,2025-04-28
231,94158.5,94073.0,94073.0,94158.5,10.578873,1420,2025-04-28
232,94073.0,94087.7,94049.0,94087.8,10.760291,931,2025-04-28
233,94087.8,94131.5,94087.8,94132.8,10.625142,863,2025-04-28
234,94131.5,94089.7,94089.7,94131.5,10.485336,922,2025-04-28
235,94089.7,94060.9,94044.5,94090.0,10.770739,1210,2025-04-28
236,94060.9,94067.3,94046.9,94101.5,10.621862,1973,2025-04-28
237,94067.3,94098.9,94053.8,94111.1,10.622292,1740,2025-04-28
238,94098.9,94201.9,94098.9,94202.0,10.567142,854,2025-04-28
239,94201.9,94138.5,94138.5,94201.9,10.393264,1070,2025-04-28
240,94138.5,94106.4,94106.3,94181.8,10.845296,1452,2025-04-28
241,94106.4,94154.1,94106.4,94155.8,10.38538,1083,2025-04-28
242,94154.1,94143.1,94138.8,94172.5,10.925101999999999,913,2025-04-28
243,94143.1,94142.0,94130.3,94155.0,10.624193,1061,2025-04-28
244,94142.0,94179.7,94142.0,94198.6,10.575519,1305,2025-04-28
245,94179.7,94208.4,94179.7,94226.8,10.604426,906,2025-04-28
246,94208.4,94260.7,94208.4,94260.7,10.65851,837,2025-04-28
247,94260.7,94220.2,94220.2,94271.9,10.565656,833,2025-04-28
248,94220.2,94237.4,94213.4,94259.0,10.636556,728,2025-04-28
249,94237.4,94233.2,94218.7,94251.2,10.599236,1104,2025-04-28
250,94233.2,94312.0,94210.0,94312.0,10.640889,1445,2025-04-28
251,94312.0,94301.5,94292.2,94312.0,9.805883,830,2025-04-28
252,94301.5,94287.6,94284.3,94301.6,11.40892,1266,2025-04-28
253,94287.6,94346.2,94287.6,94346.3,10.570287,740,2025-04-28
254,94346.2,94343.2,94318.5,94346.2,10.549111,1117,2025-04-28
255,94343.3,94317.2,94316.3,94362.4,10.683849,1043,2025-04-28
256,94317.2,94308.0,94308.0,94349.2,10.60382,987,2025-04-28
257,94308.0,94307.6,94303.1,94308.0,10.59894,427,2025-04-28
258,94307.6,94334.0,94305.1,94334.1,10.587538,721,2025-04-28
259,94334.0,94356.5,94334.0,94360.4,10.618192,1184,2025-04-28
260,94356.7,94394.3,94356.7,94405.5,10.59356,1009,2025-04-28
261,94394.3,94404.7,94370.1,94404.8,10.581681,868,2025-04-28
262,94404.7,94370.0,94370.0,94404.7,10.375009,690,2025-04-28
263,94370.0,94399.6,94369.3,94399.7,10.824123,552,2025-04-28
